
Date,Amount,Category,Subcategory,Payment Method,Description,Ref/Check No,Payee/Payer,Status,Receipt Picture,Account,Tag,Tax,Quantity,Split Total,Row Id,Type Id
2018-03-10,-8,Travel,Bus,Cash,,,,Cleared,,Personal Expense,,,1 PCS,,16,
2018-03-11,-12,Travel,Bus,Cash,,,,Cleared,,Personal Expense,,,1 PCS,,44,
2018-03-11,-80,Automobile,Fuel,Cash,,,,Cleared,,Personal Expense,,,1 PCS,,17,
2018-03-11,-1000,Health Care,Medical,Cash,,,afi checkup,Cleared,,Personal Expense,,,1 PCS,,20,
2018-03-12,-15,Travel,Train,Cash,,,,Cleared,,Personal Expense,,,1 PCS,,21,
2018-03-12,-60,Travel,autoriksha,Cash,,,,Cleared,,Personal Expense,,,1 PCS,,22,
2018-03-12,-30,Food,mine,Cash,,,,Uncleared,,Personal Expense,,,1 PCS,,23,
2018-03-12,-20,Travel,Bus,Cash,,,,Cleared,,Personal Expense,,,1 PCS,,24,
2018-03-13,,Income,,Debit,,,salary+1500teja,Cleared,,Personal Expense,,,1 PCS,,162,
2018-03-13,-20,Food,Other,Cash,,,,Cleared,,Personal Expense,,,1 PCS,,30,
2018-03-13,-50,Family,recharge,Debit,,,jessy thatha recharge,Cleared,,Personal Expense,,,1 PCS,,31,
2018-03-13,-100,Household,Home Maintenance,Cash,,,screw driver,Cleared,,Personal Expense,,,1 PCS,,35,
2018-03-13,-40,Food,mine,Cash,,,,Cleared,,Personal Expense,,,1 PCS,,25,
2018-03-13,-10,Travel,Bus,Cash,,,,Cleared,,Personal Expense,,,1 PCS,,26,
2018-03-13,57716,Income,,Debit,,,salary+500teja,Cleared,,Personal Expense,,,1 PCS,,27,
2018-03-13,-1000,Personal,Gift,Cash,,,darish kadam,Uncleared,,Personal Expense,,,1 PCS,,28,
2018-03-13,-30,Food,Snack,Cash,,,,Cleared,,Personal Expense,,,1 PCS,,29,
2018-03-14,-10,Travel,Bus,Cash,,,,Uncleared,,Personal Expense,,,1 PCS,,32,
2018-03-14,-30,Travel,Bus,Cash,,,,Cleared,,Personal Expense,,,1 PCS,,33,
2018-03-14,-20,Food,mine,Cash,,,,Cleared,,Personal Expense,,,1 PCS,,34,
2018-03-15,-60,Family,wife,Cash,,,veet,Uncleared,,Personal Expense,,,1 PCS,,41,
2018-03-15,-220,Food,mine,Cash,,,dinner,Cleared,,Personal Expense,,,1 PCS,,42,
2018-03-15,-80,Food,mine,Cash,,,kushka,Cleared,,Personal Expense,,,1 PCS,,36,
2018-03-15,-10,Travel,Bus,Cash,,,,Cleared,,Personal Expense,,,1 PCS,,37,
2018-03-15,-10,Travel,Bus,Cash,,,,Cleared,,Personal Expense,,,1 PCS,,38,
2018-03-15,-44,Food,Snack,Cash,,,,Cleared,,Personal Expense,,,1 PCS,,39,
2018-03-15,-415,Travel,Train,Debit,,,tatkal,Cleared,,Personal Expense,,,1 PCS,,40,
2018-03-16,-10,Travel,Bus,Cash,,,,Cleared,,Personal Expense,,,1 PCS,,45,
2018-03-16,-10,Food,Snack,Cash,,,,Cleared,,Personal Expense,,,1 PCS,,46,
2018-03-16,-200,Travel,autoriksha,Cash,,,,Cleared,,Personal Expense,,,1 PCS,,47,
2018-03-16,-75,Food,Dinner,Cash,,,,Cleared,,Personal Expense,,,1 PCS,,48,
2018-03-17,-8,Travel,Bus,Cash,,,,Cleared,,Personal Expense,,,1 PCS,,49,
2018-03-17,-80,Household,Miscellaneous Household Items,Cash,,,fish,Cleared,,Personal Expense,,,1 PCS,,50,
2018-03-17,-50,Family,wife,Cash,,,shamboo afi,Cleared,,Personal Expense,,,1 PCS,,51,
2018-03-18,-500,Automobile,Fuel,Cash,,,k10,Cleared,,Personal Expense,,,1 PCS,,53,
2018-03-18,-1440,Household,Home Maintenance,Cash,,,,Cleared,,Personal Expense,,,1 PCS,,54,
2018-03-18,-140,Family,Other,Cash,,,afi fruits,Cleared,,Personal Expense,,,1 PCS,,52,
2018-03-19,-240,Food,hospital,Cash,,,,Cleared,,Personal Expense,,,1 PCS,,59,
2018-03-19,-20,Food,hospital,Cash,,,,Cleared,,Personal Expense,,,1 PCS,,60,
2018-03-19,-2000,Family,Other,Cash,,,to salimon gift,Cleared,,Personal Expense,,,1 PCS,,55,
2018-03-19,-150,Food,hospital,Cash,,,mims,Cleared,,Personal Expense,,,1 PCS,,56,
2018-03-19,-45,Food,mine,Cash,,,,Cleared,,Personal Expense,,,1 PCS,,57,
2018-03-19,-60,Food,hospital,Cash,,,,Cleared,,Personal Expense,,,1 PCS,,58,
2018-03-20,-60,Food,hospital,Cash,,,,Cleared,,Personal Expense,,,1 PCS,,61,
2018-03-20,-150,Food,hospital,Cash,,,,Cleared,,Personal Expense,,,1 PCS,,62,
2018-03-20,-28,Food,hospital,Cash,,,,Cleared,,Personal Expense,,,1 PCS,,63,
2018-03-20,-100,Personal,Recharge,Debit,,,,Cleared,,Personal Expense,,,1 PCS,,64,
2018-03-20,-90,Food,hospital,Cash,,,juice,Uncleared,,Personal Expense,,,1 PCS,,65,
2018-03-20,-2000,Family,Other,Cash,,,to salimon,Cleared,,Personal Expense,,,1 PCS,,66,
2018-03-20,-590,Family,Other,Cash,,,baby bill,Cleared,,Personal Expense,,,1 PCS,,67,
2018-03-20,-250,Food,hospital,Cash,,,lunch,Cleared,,Personal Expense,,,1 PCS,,68,
2018-03-20,-20,Food,hospital,Cash,,,,Cleared,,Personal Expense,,,1 PCS,,69,
2018-03-20,-1690,Family,Other,Cash,,,baby thotti,Cleared,,Personal Expense,,,1 PCS,,70,
2018-03-20,-415,Food,hospital,Cash,,,dinner,Cleared,,Personal Expense,,,1 PCS,,71,
2018-03-21,-92,Food,hospital,Cash,,,,Cleared,,Personal Expense,,,1 PCS,,72,
2018-03-21,-165,Food,hospital,Cash,,,,Cleared,,Personal Expense,,,1 PCS,,73,
2018-03-21,-20,Food,hospital,Cash,,,kanji,Cleared,,Personal Expense,,,1 PCS,,74,
2018-03-21,-280,Family,Other,Cash,,,sweets,Cleared,,Personal Expense,,,1 PCS,,75,
2018-03-21,-310,Food,hospital,Cash,,,lunch,Cleared,,Personal Expense,,,1 PCS,,76,
2018-03-21,-80,Food,hospital,Cash,,,lunch,Cleared,,Personal Expense,,,1 PCS,,77,
2018-03-21,-29335,Family,Other,Debit,,,discharge bill,Cleared,,Personal Expense,,,1 PCS,,78,
2018-03-21,-100,Family,Other,Cash,,,nercha,Uncleared,,Personal Expense,,,1 PCS,,79,
2018-03-21,-1000,Family,Other,Cash,,,nercha,Uncleared,,Personal Expense,,,1 PCS,,80,
2018-03-22,-430,Family,Other,Cash,,,ayurved,Cleared,,Personal Expense,,,1 PCS,,81,
2018-03-22,-390,Family,Other,Cash,,,thailom,Cleared,,Personal Expense,,,1 PCS,,82,
2018-03-22,-1260,Family,Other,Cash,,,egg,Cleared,,Personal Expense,,,1 PCS,,83,
2018-03-22,-1620,Family,Other,Cash,,,stationary afi,Cleared,,Personal Expense,,,1 PCS,,84,
2018-03-22,-1760,Family,Other,Cash,,,baby thotti,Cleared,,Personal Expense,,,1 PCS,,85,
2018-03-22,-280,Family,Other,Cash,,,baby basket,Cleared,,Personal Expense,,,1 PCS,,86,
2018-03-22,-500,Family,Other,Cash,,,afi servant,Cleared,,Personal Expense,,,1 PCS,,87,
2018-03-23,-60,Family,Other,Cash,,,pad,Cleared,,Personal Expense,,,1 PCS,,88,
2018-03-24,-60,Personal,Personal Care,Cash,,,Barbour,Cleared,,Personal Expense,,,1 PCS,,89,
2018-03-24,-70,Household,Miscellaneous Household Items,Cash,,,,Cleared,,Personal Expense,,,1 PCS,,90,
2018-03-24,-450,Family,Other,Cash,,,baby turky,Cleared,,Personal Expense,,,1 PCS,,91,
2018-03-24,-250,Family,Other,Cash,,,cake,Cleared,,Personal Expense,,,1 PCS,,92,
2018-03-25,-15,Food,mine,Cash,,,water,Cleared,,Personal Expense,,,1 PCS,,98,
2018-03-25,-60,Food,Dinner,Cash,,,gateroad biriyani,Cleared,,Personal Expense,,,1 PCS,,99,
2018-03-25,-350,Automobile,Fuel,Cash,,,car,Cleared,,Personal Expense,,,1 PCS,,93,
2018-03-25,-80,Household,Miscellaneous Household Items,Cash,,,fish,Cleared,,Personal Expense,,,1 PCS,,94,
2018-03-25,-140,Personal,Personal Care,Cash,,,laddu,Cleared,,Personal Expense,,,1 PCS,,95,
2018-03-25,-1000,Health Care,Medical,Cash,,,mother for treatment kid,Cleared,,Personal Expense,,,1 PCS,,96,
2018-03-26,-35,Travel,bike,Cash,,,rapido,Cleared,,Personal Expense,,,1 PCS,,97,
2018-03-26,-64,Food,mine,Cash,,,breakfast,Cleared,,Personal Expense,,,1 PCS,,100,
2018-03-26,-10,Travel,Bus,Cash,,,bus,Cleared,,Personal Expense,,,1 PCS,,101,
2018-03-26,-40,Food,mine,Cash,,,lunch,Cleared,,Personal Expense,,,1 PCS,,102,
2018-03-26,-14,Food,Snack,Cash,,,snacks,Cleared,,Personal Expense,,,1 PCS,,103,
2018-03-26,-10,Travel,Bus,Cash,,,bus,Cleared,,Personal Expense,,,1 PCS,,104,
2018-03-27,-20,Food,Dinner,Cash,,,dinner,Cleared,,Personal Expense,,,1 PCS,,109,
2018-03-27,-32,Travel,bike,Cash,,,rapido,Cleared,,Personal Expense,,,1 PCS,,105,
2018-03-27,-70,Food,mine,Cash,,,lunch,Cleared,,Personal Expense,,,1 PCS,,106,
2018-03-27,-35,Food,Snack,Cash,,,snacks,Cleared,,Personal Expense,,,1 PCS,,107,
2018-03-27,-10,Travel,Bus,Cash,,,bus,Cleared,,Personal Expense,,,1 PCS,,108,
2018-03-28,-20,Travel,Bus,Cash,,,bus,Cleared,,Personal Expense,,,1 PCS,,110,
2018-03-28,-30,Food,mine,Cash,,,lunch,Cleared,,Personal Expense,,,1 PCS,,111,
2018-03-28,-10,Food,Snack,Cash,,,snacks,Cleared,,Personal Expense,,,1 PCS,,112,
2018-03-29,-20,Food,mine,Cash,,,breakfast,Cleared,,Personal Expense,,,1 PCS,,113,
2018-03-29,-29,Travel,bike,Cash,,,rapido,Cleared,,Personal Expense,,,1 PCS,,114,
2018-03-29,-20,Food,mine,Cash,,,lunch,Cleared,,Personal Expense,,,1 PCS,,115,
2018-03-29,-20,Food,Snack,Cash,,,snacks,Cleared,,Personal Expense,,,1 PCS,,116,
2018-03-29,-50,Travel,bike,Cash,,,rapido,Cleared,,Personal Expense,,,1 PCS,,117,
2018-03-29,-110,Food,Dinner,Cash,,,dinner,Cleared,,Personal Expense,,,1 PCS,,118,
2018-03-30,-20,Family,wife,Cash,,,recharge afi,Cleared,,Personal Expense,,,1 PCS,,119,
2018-03-31,5000,Income,,Cash,,,jessy thatha kadam,Cleared,,Personal Expense,,,1 PCS,,134,
2018-03-31,-427,Household,Miscellaneous Household Items,Cash,,,vegitables and chicken,Cleared,,Personal Expense,,,1 PCS,,120,
2018-03-31,-200,Family,Other,Cash,,,afi ice cream pad,Cleared,,Personal Expense,,,1 PCS,,121,
2018-03-31,-20,Food,mine,Cash,,,lunch,Cleared,,Personal Expense,,,1 PCS,,122,
2018-03-31,-170,Family,Other,Cash,,,nihal icecream,Cleared,,Personal Expense,,,1 PCS,,123,
2018-03-31,-290,Household,Home Maintenance,Cash,,,pull,Cleared,,Personal Expense,,,1 PCS,,124,
2018-03-31,-180,Personal,Other,Cash,,,sudani,Cleared,,Personal Expense,,,1 PCS,,125,
2018-04-01,-500,Household,Home Maintenance,Cash,,,butter tree,Cleared,,Personal Expense,,,1 PCS,,133,
2018-04-01,-20,Food,mine,Cash,,,water,Cleared,,Personal Expense,,,1 PCS,,127,
2018-04-02,-18,Food,mine,Cash,,,breakfast,Cleared,,Personal Expense,,,1 PCS,,126,
2018-04-02,-20,Travel,Bus,Cash,,,bus,Cleared,,Personal Expense,,,1 PCS,,128,
2018-04-02,-60,Food,mine,Cash,,,lunch,Cleared,,Personal Expense,,,1 PCS,,129,
2018-04-02,-20,Food,Snack,Cash,,,snacks,Cleared,,Personal Expense,,,1 PCS,,130,
2018-04-03,-20,Travel,Bus,Cash,,,bus,Cleared,,Personal Expense,,,1 PCS,,131,
2018-04-03,-60,Food,mine,Cash,,,lunch,Cleared,,Personal Expense,,,1 PCS,,132,
2018-04-04,-30,Food,mine,Cash,,,breakfast,Cleared,,Personal Expense,,,1 PCS,,135,
2018-04-04,-10,Travel,Bus,Cash,,,bus,Cleared,,Personal Expense,,,1 PCS,,136,
2018-04-04,-30,Food,mine,Cash,,,lunch,Cleared,,Personal Expense,,,1 PCS,,137,
2018-04-05,-10,Travel,Bus,Cash,,,bus,Cleared,,Personal Expense,,,1 PCS,,138,
2018-04-05,-100,Food,mine,Cash,,,lunch,Cleared,,Personal Expense,,,1 PCS,,139,
2018-04-05,-20,Food,Snack,Cash,,,snacks,Cleared,,Personal Expense,,,1 PCS,,140,
2018-04-05,-30,Food,mine,Cash,,,breakfast,Cleared,,Personal Expense,,,1 PCS,,141,
2018-04-06,-20,Food,Snack,Cash,,,snacks,Cleared,,Personal Expense,,,1 PCS,,147,
2018-04-06,-104,Travel,Taxi,Cash,,,cab,Cleared,,Personal Expense,,,1 PCS,,148,
2018-04-06,-95,Food,Dinner,Cash,,,dinner,Cleared,,Personal Expense,,,1 PCS,,149,
2018-04-06,-10,Travel,Bus,Cash,,,bus,Cleared,,Personal Expense,,,1 PCS,,142,
2018-04-06,-196,Family,recharge,Debit,,,recharge umma,Cleared,,Personal Expense,,,1 PCS,,143,
2018-04-06,-65,Food,mine,Cash,,,breakfast,Uncleared,,Personal Expense,,,1 PCS,,144,
2018-04-06,-4000,Personal,Other,Cash,,,hostel rent,Uncleared,,Personal Expense,,,1 PCS,,146,
2018-04-07,-10,Food,mine,Cash,,,breakfast,Cleared,,Personal Expense,,,1 PCS,,150,
2018-04-07,-8,Travel,Bus,Cash,,,bus,Cleared,,Personal Expense,,,1 PCS,,151,
2018-04-07,-100,Automobile,Fuel,Cash,,,bike fuel,Cleared,,Personal Expense,,,1 PCS,,152,
2018-04-07,-400,Personal,Other,Cash,,,cherup,Cleared,,Personal Expense,,,1 PCS,,153,
2018-04-07,-50,Food,Dinner,Cash,,,,Cleared,,Personal Expense,,,1 PCS,,154,
2018-04-07,-10,Health Care,Other,Cash,,,,Cleared,,Personal Expense,,,1 PCS,,155,
2018-04-08,-400,Automobile,Fuel,Cash,,,car,Cleared,,Personal Expense,,,1 PCS,,157,
2018-04-08,-130,Family,Other,Cash,,,shiza icecream,Cleared,,Personal Expense,,,1 PCS,,158,
2018-04-08,-750,Family,Other,Cash,,,cruiser rent,Cleared,,Personal Expense,,,1 PCS,,159,
2018-04-08,-10,Travel,Bus,Cash,,,bus,Cleared,,Personal Expense,,,1 PCS,,160,
2018-04-09,-38,Travel,bike,Cash,,,rapido,Cleared,,Personal Expense,,,1 PCS,,156,
2018-04-09,-1320,Travel,Train,Cash,,,irctc,Cleared,,Personal Expense,,,1 PCS,,161,
2018-04-09,-40,Travel,Bus,Cash,,,bus,Cleared,,Personal Expense,,,1 PCS,,165,
2018-04-09,-20,Food,mine,Cash,,,lunch,Cleared,,Personal Expense,,,1 PCS,,166,
2018-04-09,-20,Food,Snack,Cash,,,snacks,Cleared,,Personal Expense,,,1 PCS,,167,
2018-04-09,-40,Food,mine,Cash,,,breakfast,Cleared,,Personal Expense,,,1 PCS,,168,
2018-04-10,50340,Income,,Debit,,,salary,Uncleared,,Personal Expense,,,1 PCS,,163,
2018-04-10,-10,Travel,Bus,Cash,,,bus,Uncleared,,Personal Expense,,,1 PCS,,164,
2018-04-10,-90,Food,mine,Cash,,,lunch,Cleared,,Personal Expense,,,1 PCS,,169,
2018-04-11,-30,Travel,Bus,Cash,,,bus,Cleared,,Personal Expense,,,1 PCS,,173,
2018-04-11,-10,Travel,Bus,Cash,,,bus,Cleared,,Personal Expense,,,1 PCS,,170,
2018-04-11,-325,Travel,Train,Cash,,,irctc,Cleared,,Personal Expense,,,1 PCS,,171,
2018-04-11,-46,Food,mine,Cash,,,lunch,Cleared,,Personal Expense,,,1 PCS,,172,
2018-04-12,-10,Travel,Bus,Cash,,,bus,Cleared,,Personal Expense,,,1 PCS,,174,
2018-04-12,-35,Food,mine,Cash,,,lunch,Cleared,,Personal Expense,,,1 PCS,,175,
2018-04-12,-414,Travel,Train,Cash,,,irctc,Cleared,,Personal Expense,,,1 PCS,,176,
2018-04-13,-32,Travel,bike,Cash,,,rapido,Cleared,,Personal Expense,,,1 PCS,,177,
2018-04-13,-45,Food,mine,Cash,,,lunch,Cleared,,Personal Expense,,,1 PCS,,178,
2018-04-13,-52,Travel,bike,Cash,,,rapido,Cleared,,Personal Expense,,,1 PCS,,179,
2018-04-13,-70,Food,mine,Cash,,,lunch,Cleared,,Personal Expense,,,1 PCS,,180,
2018-04-14,-8,Travel,Bus,Cash,,,bus,Cleared,,Personal Expense,,,1 PCS,,181,
2018-04-14,-20,Family,Other,Cash,,,,Cleared,,Personal Expense,,,1 PCS,,182,
2018-04-15,-350,Personal,Recharge,Debit,,,recharge shafi,Cleared,,Personal Expense,,,1 PCS,,183,
2018-04-15,-90000,Family,Other,Cash,,,amish function,Cleared,,Personal Expense,,,1 PCS,,188,
2018-04-15,-8,Travel,Bus,Cash,,,bus,Cleared,,Personal Expense,,,1 PCS,,189,
2018-04-15,-20,Food,mine,Cash,,,dinner,Cleared,,Personal Expense,,,1 PCS,,190,
2018-04-16,-10,Food,Snack,Cash,,,snacks,Cleared,,Personal Expense,,,1 PCS,,194,
2018-04-16,-10,Travel,Bus,Cash,,,bus,Cleared,,Personal Expense,,,1 PCS,,195,
2018-04-16,-50,Travel,autoriksha,Cash,,,auto,Uncleared,,Personal Expense,,,1 PCS,,184,
2018-04-16,-10,Travel,Bus,Cash,,,bus,Cleared,,Personal Expense,,,1 PCS,,185,
2018-04-16,-199,Personal,Recharge,Debit,,,salam recharge,Cleared,,Personal Expense,,,1 PCS,,186,
2018-04-16,-30,Food,mine,Cash,,,lunch,Uncleared,,Personal Expense,,,1 PCS,,187,
2018-04-16,20000,Income,,Cash,,,afi atm,Cleared,,Personal Expense,,,1 PCS,,191,
2018-04-17,-10,Food,mine,Cash,,,breakfast,Cleared,,Personal Expense,,,1 PCS,,192,
2018-04-17,-27,Travel,bike,Cash,,,rapido,Cleared,,Personal Expense,,,1 PCS,,193,
2018-04-17,-10,Travel,Bus,Cash,,,bus,Cleared,,Personal Expense,,,1 PCS,,199,
2018-04-17,-10,Food,Snack,Cash,,,snacks,Cleared,,Personal Expense,,,1 PCS,,200,
2018-04-17,-25,Food,mine,Cash,,,lunch,Cleared,,Personal Expense,,,1 PCS,,201,
2018-04-18,-20,Food,mine,Cash,,,breakfast,Cleared,,Personal Expense,,,1 PCS,,196,
2018-04-18,-20,Travel,Bus,Cash,,,bus,Cleared,,Personal Expense,,,1 PCS,,197,
2018-04-18,-30,Food,Snack,Cash,,,snacks,Cleared,,Personal Expense,,,1 PCS,,198,
2018-04-19,-20,Food,mine,Cash,,,lunch,Cleared,,Personal Expense,,,1 PCS,,204,
2018-04-19,-10,Food,Snack,Cash,,,snacks,Cleared,,Personal Expense,,,1 PCS,,205,
2018-04-19,-20,Travel,Bus,Cash,,,bus,Cleared,,Personal Expense,,,1 PCS,,202,
2018-04-19,-410,Travel,Train,Cash,,,irctc,Cleared,,Personal Expense,,,1 PCS,,203,
2018-04-20,-27,Travel,bike,Cash,,,rapido,Cleared,,Personal Expense,,,1 PCS,,206,
2018-04-20,-50,Food,mine,Cash,,,lunch,Cleared,,Personal Expense,,,1 PCS,,207,
2018-04-20,-75,Food,Dinner,Cash,,,dinner,Cleared,,Personal Expense,,,1 PCS,,210,
2018-04-20,-50,Food,Snack,Cash,,,snacks,Cleared,,Personal Expense,,,1 PCS,,208,
2018-04-20,-83,Travel,bike,Cash,,,rapido,Cleared,,Personal Expense,,,1 PCS,,209,
2018-04-21,-8,Travel,Bus,Cash,,,bus,Cleared,,Personal Expense,,,1 PCS,,211,
2018-04-21,-20,Family,Other,Cash,,,shiza zaba,Cleared,,Personal Expense,,,1 PCS,,212,
2018-04-22,-100,Family,Other,Cash,,,home icecream,Cleared,,Personal Expense,,,1 PCS,,213,
2018-04-22,-410,Travel,Train,Cash,,,irctc,Cleared,,Personal Expense,,,1 PCS,,214,
2018-04-23,-50,Travel,bike,Cash,,,rapido,Cleared,,Personal Expense,,,1 PCS,,215,
2018-04-23,-50,Food,mine,Cash,,,water,Cleared,,Personal Expense,,,1 PCS,,220,
2018-04-23,-26,Travel,bike,Cash,,,rapido,Cleared,,Personal Expense,,,1 PCS,,216,
2018-04-23,-40,Food,mine,Cash,,,lunch,Cleared,,Personal Expense,,,1 PCS,,217,
2018-04-23,-20,Food,Snack,Cash,,,snacks,Cleared,,Personal Expense,,,1 PCS,,218,
2018-04-23,-90,Food,mine,Cash,,,dinner,Cleared,,Personal Expense,,,1 PCS,,219,
2018-04-24,-20,Travel,Bus,Cash,,,bus,Cleared,,Personal Expense,,,1 PCS,,221,
2018-04-24,-50,Food,mine,Cash,,,lunch,Cleared,,Personal Expense,,,1 PCS,,222,
2018-04-24,-10,Food,Snack,Cash,,,snacks,Cleared,,Personal Expense,,,1 PCS,,223,
2018-04-25,-20,Travel,Bus,Cash,,,bus,Cleared,,Personal Expense,,,1 PCS,,224,
2018-04-25,-50,Food,mine,Cash,,,lunch,Cleared,,Personal Expense,,,1 PCS,,225,
2018-04-26,-40,Food,mine,Cash,,,breakfast,Cleared,,Personal Expense,,,1 PCS,,226,
2018-04-26,-20,Travel,Bus,Cash,,,bus,Cleared,,Personal Expense,,,1 PCS,,228,
2018-04-26,-20,Food,mine,Cash,,,lunch,Cleared,,Personal Expense,,,1 PCS,,229,
2018-04-26,-10,Food,Snack,Cash,,,snacks,Cleared,,Personal Expense,,,1 PCS,,230,
2018-04-26,-20,Food,mine,Cash,,,dinner,Cleared,,Personal Expense,,,1 PCS,,231,
2018-04-26,-170,Personal,Other,Cash,,,teja irctc wallet,Cleared,,Personal Expense,,,1 PCS,,227,
2018-04-27,-195,Food,mine,Cash,,,dinner,Cleared,,Personal Expense,,,1 PCS,,235,
2018-04-27,-32,Travel,bike,Cash,,,rapido,Cleared,,Personal Expense,,,1 PCS,,232,
2018-04-27,-70,Travel,bike,Cash,,,rapido,Cleared,,Personal Expense,,,1 PCS,,233,
2018-04-27,-40,Food,mine,Cash,,,lunch,Cleared,,Personal Expense,,,1 PCS,,234,
2018-04-28,-60,Travel,autoriksha,Cash,,,auto,Cleared,,Personal Expense,,,1 PCS,,246,
2018-04-30,-300,Automobile,Fuel,Cash,,,k10,Uncleared,,Personal Expense,,,1 PCS,,237,
2018-04-30,-220,Health Care,Medical,Cash,,,afi checkup,Cleared,,Personal Expense,,,1 PCS,,238,
2018-04-30,-20,Family,recharge,Debit,,,recharge uppa,Cleared,,Personal Expense,,,1 PCS,,239,
2018-04-30,-70,Household,Home Maintenance,Cash,,,,Uncleared,,Personal Expense,,,1 PCS,,240,
2018-05-01,-210,Family,wife,Cash,,,recharge afi,Cleared,,Personal Expense,,,1 PCS,,241,
2018-05-01,-200,Family,Other,Cash,,,afi fruits,Cleared,,Personal Expense,,,1 PCS,,242,
2018-05-01,-325,Travel,Train,Cash,,,irctc,Cleared,,Personal Expense,,,1 PCS,,243,
2018-05-01,-10,Household,Miscellaneous Household Items,Cash,,,,Cleared,,Personal Expense,,,1 PCS,,244,
2018-05-01,-600,Family,Other,Cash,,,afi gift,Cleared,,Personal Expense,,,1 PCS,,245,
2018-05-02,-120,Travel,autoriksha,Cash,,,auto,Cleared,,Personal Expense,,,1 PCS,,247,
2018-05-02,-32,Travel,bike,Cash,,,rapido,Cleared,,Personal Expense,,,1 PCS,,248,
2018-05-02,-80,Food,mine,Cash,,,lunch,Cleared,,Personal Expense,,,1 PCS,,250,
2018-05-02,-10,Food,Snack,Cash,,,snacks,Cleared,,Personal Expense,,,1 PCS,,251,
2018-05-02,-10,Travel,Bus,Cash,,,bus,Cleared,,Personal Expense,,,1 PCS,,252,
2018-05-03,-20,Travel,Bus,Cash,,,bus,Cleared,,Personal Expense,,,1 PCS,,249,
2018-05-03,-40,Food,mine,Cash,,,lunch,Cleared,,Personal Expense,,,1 PCS,,256,
2018-05-03,-10,Food,Snack,Cash,,,snacks,Cleared,,Personal Expense,,,1 PCS,,257,
2018-05-03,-70,Food,mine,Cash,,,dinner,Cleared,,Personal Expense,,,1 PCS,,258,
2018-05-04,-32,Travel,bike,Cash,,,rapido,Cleared,,Personal Expense,,,1 PCS,,253,
2018-05-04,-30,Food,mine,Cash,,,lunch,Cleared,,Personal Expense,,,1 PCS,,254,
2018-05-04,-10,Travel,Bus,Cash,,,bus,Cleared,,Personal Expense,,,1 PCS,,255,
2018-05-04,-10,Food,Snack,Cash,,,snacks,Cleared,,Personal Expense,,,1 PCS,,259,
2018-05-04,-70,Food,mine,Cash,,,dinner,Cleared,,Personal Expense,,,1 PCS,,263,
2018-05-05,-20,Travel,Bus,Cash,,,bus,Cleared,,Personal Expense,,,1 PCS,,260,
2018-05-05,-50,Food,mine,Cash,,,lunch,Cleared,,Personal Expense,,,1 PCS,,261,
2018-05-05,-10,Food,Snack,Cash,,,snacks,Cleared,,Personal Expense,,,1 PCS,,262,
2018-05-05,-70,Food,mine,Cash,,,dinner,Cleared,,Personal Expense,,,1 PCS,,264,
